category,rating,name,state
Gyms & Studios,4.2,G Force Gym and Fitness Centre Puncak Alam,Selangor
Gyms & Studios,4.9,Yogshakti,Kuala Lumpur
Gyms & Studios,4.8,I Muscles Fitness,Perak
Recreation Centers,4.3,Marina Putrajaya,Putrajaya
Fishing & Hunting,4.6,TCE Tackles Sdn Bhd,Perak
Gyms & Studios,3.6,Fitness First Gym - Klang Bukit Tinggi,Selangor
Other Outdoor & Lawn Sports,3.9,99 Apacs Badminton Centre,Johor
Gyms & Studios,3.7,Max Gym,Sarawak
Gyms & Studios,4.1,Enrich Fitness,Selangor
Fishing & Hunting,4.3,TCE Tackles Sdn Bhd,Sabah
Recreation Centers,4.0,"Amigo Clubhouse @ 16 Sierra, Puchong South",Selangor
Recreation Centers,4.3,Sports Arena Sentosa,Kuala Lumpur
Gyms & Studios,3.0,Bard Gym,Kelantan
Gyms & Studios,4.1,"Peak Fitness SOGO, KL City Centre",Kuala Lumpur
Fishing & Hunting,4.3,Fisher Tackles Sdn. Bhd.,Selangor
Recreation Centers,3.9,Kompleks 3K MBSJ,Selangor
Other Outdoor & Lawn Sports,4.0,CT Long Badminton Academy,Kedah
Fishing & Hunting,4.3,Bemban Fishing Club,Kedah
Gyms & Studios,4.5,Hangout Community (Metro Avenue),Other
Other Outdoor & Lawn Sports,4.0,Dewan Badminton Ko,Selangor
Other Outdoor & Lawn Sports,4.0,GR Sports Centre ( piabetainton Centre ),Negeri Sembilan
Recreation Centers,4.3,Arena Sukan,Sarawak
Golf & Driving Ranges,4.2,Damai Golf And Country Club,Sarawak
Gyms & Studios,5.0,Sakthi School of Yoga,Selangor
Fishing & Hunting,4.3,TCE Tackles Sdn Bhd,Pahang
Golf & Driving Ranges,3.9,Mountain View Golf Resort,Other
Gyms & Studios,4.1,Body Factory Gym & Fitness Centre,Selangor
Gyms & Studios,4.6,Red Gym & Fitness Centre,Perak
Fishing & Hunting,4.1,TCE Tackles Sdn Bhd,Kedah
Recreation Centers,4.8,Arena Sukan Kuala Lumpur ( ASKL ),Kuala Lumpur
Saunas & Spas,4.4,The Club @ IJM Rimbayu,Selangor
Other Outdoor & Lawn Sports,3.9,Ara Court Badminton Hall,Selangor
Other Outdoor & Lawn Sports,3.8,Next Revenue Badminton Hall (Book with AFA),Kuala Lumpur
Gyms & Studios,4.9,LifenFitness Seventeen,Selangor
Recreation Centers,3.9,"Pusat Akuatik Hang Jebat,",Other
Recreation Centers,3.9,Sunway Sports Center,Other
Gyms & Studios,4.1,Fat 2 Fit,Selangor
Fishing & Hunting,3.5,Kolam Pancing Kelimas Enterprise,Perak
Recreation Centers,4.8,Mission-Q Escape Room,Selangor
Recreation Centers,4.0,Central Park Dataran Sunway,Selangor
Fishing & Hunting,4.1,TCE Tackles Sdn Bhd,Terengganu
Fishing & Hunting,4.1,D Joran Bagus,Johor
Gyms & Studios,4.2,Gympark Fitness HQ,Selangor
Fishing & Hunting,4.5,TCE Tackles Sdn Bhd,Selangor
Other Outdoor & Lawn Sports,4.0,Permata Sports Complex,Other
Gyms & Studios,4.7,"24-Hour Gym: Anytime Fitness Damansara Jaya, Atria Shopping Gallery.",Selangor
Paintball & Laser,4.7,Mudtrekker Paintball Park,Selangor
Recreation Centers,4.2,SUK Selangor Sports Complex,Selangor
Recreation Centers,4.0,Sport City Indahpura,Johor
Gyms & Studios,4.6,Aero Gym and Fitness Centre,Johor
Recreation Centers,3.9,Kompleks 3K MBSJ Serdang Raya,Selangor
Gyms & Studios,4.1,Power Master Gym & Fitness,Other
Fishing & Hunting,4.2,KBS Tackle Sdn Bhd,Sabah
Recreation Centers,4.3,All Stars Futsal,Negeri Sembilan
Fishing & Hunting,4.2,TCE Tackles Sdn Bhd,Johor
Fishing & Hunting,4.2,Mei Jia Mini Market,Negeri Sembilan
Skating & Rinks,4.0,"AU5 , KERAMAT,SKATEPARK",Selangor
Gyms & Studios,5.0,Curves Bandar Sri Damansara,Kuala Lumpur
Fishing & Hunting,4.2,TCE Tackles Sdn Bhd,Other
Fishing & Hunting,4.3,Chia Fishing Tackle Trading,Selangor
Gyms & Studios,4.2,Anytime Fitness Metro Prima Kepong - 24 Hour Gym,Kuala Lumpur
Gyms & Studios,3.8,Star Fitness Damansara,Selangor
Gyms & Studios,4.8,Curves Sunway Nexis,Selangor
Fishing & Hunting,4.7,Yoshaa Fishing Store,Negeri Sembilan
Recreation Centers,4.3,GSS Global Sports Solution,Other
Fishing & Hunting,4.3,TCE Tackles Sdn Bhd,Selangor
Recreation Centers,4.8,RNJ SWIMMING ACADMEY (KEPONG BRANCH) (formerly known as Swim Splash Academy),Kuala Lumpur
Fishing & Hunting,4.3,TCE Tackles Sdn Bhd,Perak
Other Outdoor & Lawn Sports,4.2,Cha Yong Badminton Center,Johor
Golf & Driving Ranges,3.5,Gemas Golf Resort,Negeri Sembilan
Fishing & Hunting,4.2,Kolam Memancing Batu Arang 123,Selangor
Other Outdoor & Lawn Sports,4.4,INF Badminton Court | Jalan Fatimah | 鼎立羽球场,Johor
Team Sports & Fields,4.0,YTP Sports Arena,Selangor
Gyms & Studios,4.3,Lifestyle Gym,Sarawak
Gyms & Studios,4.3,Cobra Gym Express Senawang 24 Hour Fitness,Negeri Sembilan
Recreation Centers,4.1,X Park Sunway City Ipoh,Perak
Fishing & Hunting,4.2,TCE Tackles Sdn Bhd,Perak
Fishing & Hunting,4.0,Perniagaan Cabaran Belantara,Kedah
Gyms & Studios,4.8,Triple T Boxing Academy,Selangor
Fishing & Hunting,4.1,TCE Tackles Sdn Bhd,Selangor
Gyms & Studios,4.9,Seven Star Gym & Fitness,Penang
Golf & Driving Ranges,3.8,Bandar Utama Golf Course,Selangor
Fishing & Hunting,3.6,Fish Garden Sungai Janggut Jeram,Selangor
Gyms & Studios,4.9,Koryo Taekwondo Club Bandar Bukit Raja Klang (Koryo Taekwondo Excellence Centre),Selangor
Golf & Driving Ranges,4.0,Bukit Kemuning Golf & Country Resort,Selangor
Gyms & Studios,4.6,ABOVE FITNESS RAWANG,Selangor
Recreation Centers,4.1,Mahkota Hills Club House,Negeri Sembilan
Martial Arts & Dojos,4.9,ATSA Sabah Taekwondo,Sabah
Gyms & Studios,4.4,Olympic Sports & Fitness Sdn Bhd,Penang
Gyms & Studios,4.6,Body Engineers Fitness,Selangor
